W001,E001,S001,ON011,,EarthMover 1500,2018,Available,"2940 Some Lane, Jackson, Mississippi",HeavyMachinery Inc.
W002,E002,S002,ON013,R004,SolarPanel Pro,2022,Under Repair,"4760 Random Street, Meeker, Oklahoma",EcoEnergy
W003,E003,S001,ON001,,ProLift 300,2019,Unavailable,"1224 Unreal Avenue, Little Canyon, Texas",LiftTech
W001,E004,S001,ON020,,EarthMover 1500,2018,Available,"2940 Some Lane, Jackson, Mississippi",HeavyMachinery Inc.
W016,E005,S002,ON013,,SolarPanel Pro,2022,Unavailable,"8623 Cypress Dr, Houston, Texas",EcoEnergy
W017,E006,S003,ON001,,ProLift 300,2019,Available,"4680 Chestnut St, Philadelphia, Pennsylvania",LiftTech
W016,E007,S004,ON020,R009,EarthMover 1500,2018,Under Repair,"8623 Cypress Dr, Houston, Texas",HeavyMachinery Inc.
W016,E008,S001,ON013,,SolarPanel Pro,2022,Available,"8623 Cypress Dr, Houston, Texas",EcoEnergy
W001,E009,S001,ON001,,ProLift 300,2019,Available,"2940 Some Lane, Jackson, Mississippi",LiftTech
W002,E010,S003,ON020,R001,EarthMover 1500,2018,Unavailable,"4760 Random Street, Meeker, Oklahoma",HeavyMachinery Inc.
W003,E011,S002,ON020,,EarthMover 1500,2018,Available,"1224 Unreal Avenue, Little Canyon, Texas",HeavyMachinery Inc.
W001,E012,S005,ON013,R006,SolarPanel Pro,2022,Under Repair,"2940 Some Lane, Jackson, Mississippi",EcoEnergy
W018,E013,S010,ON014,,HydroPump 250,2021,Available,"1254 Fig St, Phoenix, Arizona",AquaTech
W009,E014,S008,ON015,,CargoMaster 700,2020,Unavailable,"2345 Pine Ct, Denver, Colorado",FreightSolutions
W015,E015,S001,ON016,,Precision R100,2022,Available,"3571 Ash St, Portland, Oregon",Precision Tools
W001,E016,S007,ON011,,EarthMover 1500,2018,Available,"2940 Some Lane, Jackson, Mississippi",HeavyMachinery Inc.
W002,E017,S004,ON013,,SolarPanel Pro,2022,Unavailable,"4760 Random Street, Meeker, Oklahoma",EcoEnergy
W003,E018,S002,ON014,,HydroPump 250,2021,Available,"1224 Unreal Avenue, Little Canyon, Texas",AquaTech
W001,E019,S010,ON015,,CargoMaster 700,2020,Available,"2940 Some Lane, Jackson, Mississippi",FreightSolutions
W020,E020,S010,ON016,,Precision R100,2022,Unavailable,"2460 Cherry St, Nashville, Tennessee",Precision Tools