W001,"Jackson, Mississippi",2940 Some Lane,(123) 456-7890,Jordan Jordan,1200,12
W002,"Meeker, Oklahoma",4760 Random Street,(987) 654-3210,Manny Meihr,3000,25
W003,"Little Canyon, Texas",1224 Unreal Avenue,(111) 111-1111,Guy Johnson,66400,50
W004,"Denver, Colorado",5656 Imaginary Road,(999) 999-9999,Kool Guy,9999,24
W005,"Manchester, Missouri",0073 Nowhere Place,(545) 454-5454,Prius Karson,3550,70
W006,"Seattle, Washington",1234 Maple St,(206) 555-0178,Alice Johnson,5000,30
W007,"Austin, Texas",4567 Cedar Blvd,(512) 555-0325,Mark Thompson,6200,25
W008,"Chicago, Illinois",8910 Oak Ave,(312) 555-0462,Emily Garcia,4500,20
W009,"Denver, Colorado",2345 Pine Ct,(720) 555-0789,David Smith,5500,15
W010,"Miami, Florida",6789 Palm Dr,(305) 555-0914,Laura Wilson,4800,40
W011,"New York, New York",1357 Elm St,(212) 555-0146,Brian Lee,7000,50
W012,"San Francisco, California",2468 Birch Way,(415) 555-0284,Sarah Martinez,3900,10
W013,"Atlanta, Georgia",7890 Magnolia Ln,(404) 555-0675,Kevin Brown,4100,35
W014,"Boston, Massachusetts",1592 Willow Ct,(617) 555-0187,Jessica Taylor,5300,20
W015,"Portland, Oregon",3571 Ash St,(503) 555-0235,Michael Clark,4600,18
W016,"Houston, Texas",8623 Cypress Dr,(713) 555-0399,Karen Allen,5200,45
W017,"Philadelphia, Pennsylvania",4680 Chestnut St,(215) 555-0112,Jason Walker,4900,30
W018,"Phoenix, Arizona",1254 Fig St,(602) 555-0573,Lisa Adams,5300,25
W019,"Dallas, Texas",7891 Hickory Ln,(214) 555-0491,Andrew Turner,6000,12
W020,"Nashville, Tennessee",2460 Cherry St,(615) 555-0358,Michelle Hall,5500,22